context,question,answer
"5 February 1915. My dear Father,I was glad to receiveyour letter the other day; I am afraidit would not be much of a holidayfor you in the hospital, with a poisonedleg; I hope it will soon be better, itseems a terrible climate for ones' blood. Have you seen Tom Burton yet? I sawhim down Sydney about a week ago,with a fellow that was working atMac Bride's; I was surprised to see them,they told me all the news.  Tom promisedto call in & see you when he got back. We had our final leave about a weekago, I spent most of my time in Sydney;we had a very good time, I should haveliked to have got up & seen you beforeleaving, but it was a little too far",What is this about?,5 February 1915
"Dear Father & Mother,-My last letter finished off I think where wewere in the S.  Adriatic.  We continued our zig zag course rightinto Malta and back to the N.  end of Sicily.  I hoped we wouldgo through Str",What is this about?,"Dear Father & Mother,-My last letter finished off I think where wewere in the S"
Htel de ParisMonte-Carlo1. 3. 1917Dear friendin the hurry ofyour departure yesterdayand the arrival ofMr.  Hayes I quite forgotto give you my card & Parisadress.  I enclose it now,What is this about?,Htel de ParisMonte-Carlo1
Good by to Anzac Cove West Mudros Lemnos24. 11. 1915I hope you recd.  my mail posted 14 11 - as thereare rumors that it was sunk in a storm I puta lot of time into a Christmas Card for you all - & alsowrote my birthday letter (11th ) as well as letters to Uncle &friends.  So I do hope that mail has not gone,What is this about?,Good by to Anzac Cove West Mudros Lemnos24
Mena Camp19/2/15We have had 5 days bivouac towardsSakkara.  First day we marched from campto the site arriving at midday.  After a 4 hourspell we went out to take up a defensive position& dug trenches all night.  I had a bit of rest from9 pm to midnight - managed to sleep about an hour -but there were too many stones to be comfortable. Next day was spent in defending the trenches againstthe 4th Bat,What is this about?,Mena Camp19/2/15We have had 5 days bivouac towardsSakkara
"March 26, 1918 Left Doullens about 10 a. m.  in a lorrie ambulance wagon for Frevent which is about 12 kilos.  Reported to RTO.  Said Assistant Director of Medical Services was located at Auxi-le-Chateau",What is this about?,"March 26, 1918 Left Doullens about 10 a"
"Dear Mother & Father, As you see by the address I havejoined my battalion at last.  At presentwe are billeted behind the lines as Reserves,and are to go into the trenches shortly. Several of my mates came into thesame company, so I am feeling quiteat home, and not out of place, as I thought I should for some time.  We have been doing fatigue work inreserve trenches, building dugouts &e. ,rising at 3 am",What is this about?,"Dear Mother & Father, As you see by the address I havejoined my battalion at last"
"Dearest Mother & all at Home,Just a line to let you know that I amquite will & very comfortable, & I hope you are all the same. It is a great comfort to get your letters from Melbourne,& no matter how hard the chaps have been worked, a Mailfrom Australia is the most wonderful tonic in the world tobuck them up.  We had just concluded a big battlewhen the Mail arrived, so we are all happy & thoroughlycontented now.  One of our greatest enemies is Lice: Greatbig gray creatures who breed in thousands in the seamsof ours clothing, but just lately we have had littlewhite muslin or calico bags containing sulphur orsome other like powder, & I am glad to say it has hadthe effect of repelling the horrid things considerably. The poor Infantry chaps in the firing trenchessuffer very much from them & they are always to beseen at work with their thumb nails, altho' they don'twear much clothing either",What is this about?,"Dearest Mother & all at Home,Just a line to let you know that I amquite will & very comfortable, & I hope you are all the same"
"Wed.  Jan.  2, 1918 Weather: cold, clear Health: fair Read Newspapers - Peace Prospects Pleasing Late for reveille.  Our names are taken but we are excused.  Breakfast, oatmeal, bacon, coffee",What is this about?,Wed
"April 12, 1918 Reported R[ailway] T[raffic] O[fficer] at 9 a. m.  Could not tell me where my unit was.  Waited for 34th Div.  train (supply)",What is this about?,"April 12, 1918 Reported R[ailway] T[raffic] O[fficer] at 9 a"
Our Australian cow punchers were delighted to seethe condition cattle put on in this country.  I havetaken a dislike to butter it is too rich !!. Frenchmilk !!! (first we'd had for years) Strawberries andcream !!!! in abundance - Cherries !!! with ratherbigger stones & less 'flesh' than Neuman's best - butsplendid in taste.  This is the life. Eggs are frightfully dear,What is this about?,Our Australian cow punchers were delighted to seethe condition cattle put on in this country
Dear FloI have just received a letter from Bob dated2/7/16 He is quite well and said that he was writinghome the same day before I left Egypt I had some lettersfor him and one of the lads from the Batt was being sent tothe camp where Bob was so I gave him the letters to giveto Bob and in his note he mentioned that he receivedthemgood luckStevePS Give My BestWishes to allFriendswithin the next week or soEverything in the Garden is lovelyor at least I hope so now I must closeas news is scarce and I know you willread Mother's and also Minnies NoteSo with best LoveI remainYour LovingBrother Steve,What is this about?,Dear FloI have just received a letter from Bob dated2/7/16 He is quite well and said that he was writinghome the same day before I left Egypt I had some lettersfor him and one of the lads from the Batt was being sent tothe camp where Bob was so I gave him the letters to giveto Bob and in his note he mentioned that he receivedthemgood luckStevePS Give My BestWishes to allFriendswithin the next week or soEverything in the Garden is lovelyor at least I hope so now I must closeas news is scarce and I know you willread Mother's and also Minnies NoteSo with best LoveI remainYour LovingBrother Steve
"Mena Camp, 31/1/1915. Dear Father & Mother, There is a crowd of men being sentback to Australia next week - they consist of two lots -those found medically unfit, & wasters - theformer in the majority.  I recommended two wastersfrom my old Co to go back & both are going -- I went up to see Freff (Sister U.  M.  Carter",What is this about?,"Mena Camp, 31/1/1915"
"Wed.  Jul.  10, 1918 Weather: Cloudy, Warm Health: Poor Up at 8:00.  Cook for new detachment, obligingly gives me breakfast.  I have no appetite",What is this about?,Wed
"Tuesday April 23, 1918 Weather: Fair, Mild Health: Good Up at 5:00.  Awake very cold.  Boys who came in late could not find their blankets.  They make a collection from men sleeping near at hand, leaving each only the necessary one.  I have only one",What is this about?,"Tuesday April 23, 1918 Weather: Fair, Mild Health: Good Up at 5:00"
"Tuesday April 16, 1918 Weather: Cloudy, Fair, Warm, sea calm Health: cold slightly better, Head hurts over eyes and nose from congestion and cold.  At Sea, In Danger Zone.  A medical Examination.  Up at 6:00.  Reveille",What is this about?,"Tuesday April 16, 1918 Weather: Cloudy, Fair, Warm, sea calm Health: cold slightly better, Head hurts over eyes and nose from congestion and cold"
"Dear Mr Taylor, No doubt you think that I have forgotten all about you and my friends of the Audit, but never let it be said (this is an army term, if you please. ) Truth to tell I have been going to write time after time, but have had to put it off for various reasons.  I am taking this opportunity of writing to you, while I am in charge of tonights guard.  I get this job about once a week now, its not so bad, I have three men and a man in waiting; we mount at 5pm and dismiss at 7am.  We make ourselves as comfortable as we can, in the guard tent, which just covers over the top of the sand bags, and these have got grass growing out of them now",What is this about?,"Dear Mr Taylor, No doubt you think that I have forgotten all about you and my friends of the Audit, but never let it be said (this is an army term, if you please"
"Just a line - We've ordered to Mudros fora rest - Weather permitting -24 weeks in trenches is my shareRollo.  Last letter fromAnzac CoveNovember 14, 1915. Mail just in - Parcels & telegramshave been sorted -Thank you very much for your wishes& for your very very good parcel.  It is tiptopOutward mail just off - only a minuteleft to get this offThanks again very much for youwishes & gift. Love & best wishes fromRollo",What is this about?,Just a line - We've ordered to Mudros fora rest - Weather permitting -24 weeks in trenches is my shareRollo
"Fri.  Dec.  21, 1917 Weather: mild, fair Health: Throat sore Up at 6:00.  Reveille 6:15.  Made bed",What is this about?,Fri
This iswritten underthe shade of apalm tree ina nice little desert oasis. GRAND HOTEL CONTINENTALPORT-SAID(EGYPTE)SIMONINI FRRES PROPR. le . .,What is this about?,This iswritten underthe shade of apalm tree ina nice little desert oasis
"(Dear Mabs birthday)Dearest Mother & all at Home. Just a line to let youknow that I am quite well & enjoyed Xmas immensly. I have simply been overwhelmed with good things& presents, & it has been the surprise of my life, &being a stranger in a strange land, I expectedto have a very quiet time, but friends have comesuddenly on me from everywhere & loaded mewith all kinds of things, and invitations toXmas dinner in galore, which I was compelledto decline.  One of my bombardiers (Arthur Maure)who is in England told his friends of my whereabouts& I got a lovely invitation from them (I am sendingyou the letter) & they offered to fetch me in their Car. When I wrote and thanked them profusely, & toldthem that I was still confined to bed, they at oncecame & visited me",What is this about?,(Dear Mabs birthday)Dearest Mother & all at Home
"9th Light Horse RegimentAnzac,November 7th 1915My dear mother,Another week has passed away quietly & here I amsitting on a box outside my dug out in beautiful sunshine scribblingthis letter to you.  It is a Sabbath afternoon & though there is againno church service owing to the illness of the chaplain somethingof the peace & restfulness of Sunday has come over me as I havelolled about in the sun although the duties of the day are exactlysimilar to those of other days A mail came here this weekbut of course contained nothing for me though I expect tothat by the time the next mail arrives my letters will have beenre - addressed from Egypt & I will receive some.  Yesterday Isent off a week end cablegram to you as I thought itmight relieve your mind a little, although it will be two orthree weeks old when you receive it as it takes fully two weeksfor it to go to Alexandria by letter post from where it issent by cable.  I have also discovered that the best dayto post letters here is Saturday so in future I will writeon Friday commencing this week.  Today we had a gift oftobacco & cigarettes sent from Australia, one plug of tobacco& three packets of cigarettes for each man - I have quite a number of cigarettesnow with those issued, more than I can smoke, so will passsome on to heavier smokers",What is this about?,"9th Light Horse RegimentAnzac,November 7th 1915My dear mother,Another week has passed away quietly & here I amsitting on a box outside my dug out in beautiful sunshine scribblingthis letter to you"
"Fri.  Jan.  4, 1918 Weather: cold, windstorm, sandladen Health: good Up at 6:00.  Reveille 6:15.  Breakfast, liver, onions, oatmeal, coffee",What is this about?,Fri
"Dear Father & Mother, We have had another shift since I last wrote, a little nearer the Front and we are [[?]] at [[?-----nts]] at present - [[?catching?]] all the spare that the enemy tosses over at our Artillery .  I don't think Fritz has any special malice against infantry in [[?]] near Artillery pits - but I am certain he has a down on Artillery - so we get much of what was meant for their people.  It is a horrible sensation to see tiles flying off one's roof - I've endured that - but others have been less fortunate.  [[?I've]] [[?seen]] the [[?]] [[?]] shifted by one shell.  Fritz is very busy on the [[?]] [[?]] - but [[Jack?]] took the [[?]] as far as effective work went - Beachy Bill alone gave me over [[our?]] casualties on Anzac Beach - Fritz [[?]] [[?]] gave to compare with that",What is this about?,"Dear Father & Mother, We have had another shift since I last wrote, a little nearer the Front and we are [[?]] at [[?-----nts]] at present - [[?catching?]] all the spare that the enemy tosses over at our Artillery"
"Saturday April 27, 1918 Weather: Drizzle in morning, afternoon fine.  Health: Good Up at 6:00.  Reveille.  Go up for breakfast, Bacon, bread, dates, coffee.  3rd platoon on police duty",What is this about?,"Saturday April 27, 1918 Weather: Drizzle in morning, afternoon fine"
"1.  7.  1917My dear mother,Your very welcome letter of 8. 5. 17 safelyto hand today, also a couple from Jack, one writtenfrom Australia & one from Moasca after his arrivalin Egypt",What is this about?,1
We are exceedingly busy today as we are to shiftcamp - & once more start campaigning.  However I'telepathed' birthday greetings to you yesterday& again today.  I have telepathed greetings to youall.  For the five will be at home today as Ibelieve.  Wumps won't leave till the 24th,What is this about?,We are exceedingly busy today as we are to shiftcamp - & once more start campaigning
"General Headquarters,Mesopotamian Expeditionary Force. 16th May, 1917. My dear GeneralMany thanks for you kind letter of congratulationsfor which I am most grateful. Everything has gone most smoothly out here and we havebeen very lucky, whilst I cannot tell you how splendid thetroops have been.  As a result of five months incessantfighting our men care nothing for the Turks and go slap atthem whenever they see them even across the most openground",What is this about?,"General Headquarters,Mesopotamian Expeditionary Force"
"Is this the Somalia? It could be CalchanunsCould it?H. M. A. S SYDNEY 25th APRIL, 1915 ADELAIDE, Tuesday. Private Whyte, who died from wounds re-ceived in the Dardanelles fighting on April29, was a popular local sportsman",What is this about?,Is this the Somalia? It could be CalchanunsCould it?H
"March 25, 1918 Reported to RTO who told me to report to Beaumetz.  No trains.  Couldnt very well carry my kit 18 kilos.  Stayed in Doullens.  Found a bunk at church army hut",What is this about?,"March 25, 1918 Reported to RTO who told me to report to Beaumetz"
"26. 1. 1917 My dear mother,Once again in the desert and after all thereare compensations as at present the weather is perfect &the open desert & sea are very different from the stuffinessof Cairo.  I believe an Australian mail is expected heretoday but probably I think I will write this letter now& reply later to yours when they come.  Horrid rumors areprevalent that the P&O are only going to run amonthly service to Australia instead of fortnightly -wouldn't it be abominable? Everything is very quiet herenow, & may be so for sometime for all we know, butof course we don't know very much",What is this about?,26
"Letter from Brighton,23 October 1915.  From Hav.  Yusaf Khan K. I. H (Brighton) to Rangri Ghulam Muhammad, 40th Pathans, France (Urdu, 21/10/15)",What is this about?,"Letter from Brighton,23 October 1915"
"As I have been foretelling, great alterations havebeen made in our Army - it has doubled its number ofunits - & now we form 5 Divisions - & with the N. Z. have two complete Army Corps of Infantry.  Of coursewe have not yet been trained as such - but the movementtowards reorganization is well under way, with theresult that in common with other veteran battalionsthe 10th has been split.  In our Battn",What is this about?,"As I have been foretelling, great alterations havebeen made in our Army - it has doubled its number ofunits - & now we form 5 Divisions - & with the N"
"Dear Charles.  I have just received your letter today, Jim brought it to me, it is the first letter I have had since I first landed in Egypt, it was in a very battered state have been following me about for a long time, it was marked missing so that accounts for the rest of my mail going astray.  On the day you wrote yours, we went into action and got a bullet through the arm seven hours after landing, it was only a small wound but it cut the sineurs, and my hand has been very near useless ever since, it will be 11 weeks on Sunday since we landed, but I have not been in the hospital all the time when my arm healed up I went to Zeitoum training camp but I could not do any drill and very near got sent back to Australia, but I managed to get sent intothis hospital as I had to undergo an operation but I am alright now, I have been in bed for 18 days so I shall soon be getting up and around going to a convalescenthome for a spell and then back to the trenches.  Well we had a pretty lively time when we rushed a landing on the 25 of April, it is a day I shall never forget, on the night before we lay down on the decks, asusual, to go to sleep if the lice would let us, (you must we were all to go to sleep very lousy ) we were pulled out of bed about 4 oclock in the morning it was very dark but we had to roll up our blankets and get some tucker into us and be ready to go ashore, Just as it started to get.  daylight the Turck started to bombard our ships with shrapnel and big shells and our battleships started too it was a great sight while we were on the ship to see the water fly up when the shells dropped into the bay",What is this about?,Dear Charles
"Hurrah.  mail yesterday.  I got Bulletin, Observer,Chronicle - S. E.  Times & Leader - but no letters - so asI didn't want to look out of it I pulled out yourletter of April 20th & read it through twice",What is this about?,Hurrah
"April 29, 1918 The Bosche began cannonading again at 3 a. m.  Very heavy barrage.  Also caught one of our batteries with his harassing fire.  Had about 15 casualties, four killed",What is this about?,"April 29, 1918 The Bosche began cannonading again at 3 a"
"Tuesday June 1st 1915 Capt.  Walstab leftus for the front this morning: Madearrangements re, requisitioning forclothing from Ordnance.  Most of themen are getting ragged: & theyappear in all sorts of garbs: Got1 cwt of coal this morning, Have asmiths shop rigged up now out of wagonpoles and covers.  Two of my men(Hampton & Anderson) absent from rollcall this morning! Went into Alexandriawith Eller at 1pm.  We had lunch atGroppi's then visited Jewellers",What is this about?,Tuesday June 1st 1915 Capt
"Wednesday April 17, 1918 Weather: Cloudy, Cold Health: Bad neuralgia in morning At Sea, In Danger Zone Up at 6:00.  Up on deck for Reveille.  Remain on deck for smoke.  Downstairs to wash and make bed.  Lie down until breakfast",What is this about?,"Wednesday April 17, 1918 Weather: Cloudy, Cold Health: Bad neuralgia in morning At Sea, In Danger Zone Up at 6:00"
Dear MinJust a few lines to let you know that I am quite welland I hope you are also quite well.  I received your welcome letter yesterday andwas glad to hear from you and to know that you are alright it is the firstletter I have received from you while in the trenches I had one from Boba few day ago he was quite well at the time of writing he is now somewherein France Mother says in her letter she is sorry for the boys going tofrance as they will feel the cold she is quite forgetting that the boysincluding myself felt the heat while in Egypt and also the sandand was really dying a slow but sure death by staying there andI think that every one of us are glad to leave Egypt to the niggersand chance the cold weather of France we have very long days hereit is still light at 10PM and gets light before 3 oclock in the morningso we do not have many hours of darkness I would not liketo work for a cocky over here if they were anything like the Southcoasters start before and finish at dark a fellow would havea pretty rough time of it Dear Min Regus was pretty diffbeing sent up to Dubbo from Sydney some of the latereinforcements that came over to Egypt were very stiffwhen they arrived they were sent to a camp out on thedesert away from Cairo so all they seen of Egypt was thesand of the desert and the niggers and they are not worth looking at greasy dirty looking beggars thewomen of the well to do lot look alright but you canonly see their eyes as they wear a veil so what is thegood of that anyhow it is good to be out of it and francewill do me although a fellow stands a chance of getting hurtwith lead and iron rations flying about Dear Min ifever I get to the old dart I will go to places that youmention in your letter and make inquiries and find outas much as I can Dear Min I started writing to Motherlast night while I was writing there were shells flying aroundnow as I am writing to you there are some more flying roundand when I am writing to Flo there will be some more so you willall be able to say that when this letter was handwritten therewas lead and iron flying about over in france Dear MinI have no more news this time so I will close with bestlove I remainYour Loving BrotherStephenDear MinI am enclosing a poppy flower which I gotgrowing in one of the sapsSteve,What is this about?,Dear MinJust a few lines to let you know that I am quite welland I hope you are also quite well
"Dearest Mother & Father, Just to let you know I am still well and that everything is going on alright.  We are at present undergoing a further and more elaborate course of training under English instructors who have been through the mill.  It is rather strenuous after a comparatively easy two months, but we all feel that we cannot get too much of it.  We march out about three miles each morning and remain out till about 2-30 pm, when our day's work is finished.  The weather has been beautifully fine since the first day when it was very cold",What is this about?,"Dearest Mother & Father, Just to let you know I am still well and that everything is going on alright"
"Friday April 19, 1918 Weather: Cloudy, Cold Health: Headache all day.  At Sea - Danger Zone - In England Up at 6:00.  On guard in boat 2A.  Fearfully cold.  A strong wind is blowing",What is this about?,"Friday April 19, 1918 Weather: Cloudy, Cold Health: Headache all day"
"Tuesday Mar.  5, 1918 Weather: mild, clear Health: good Up at 6:00.  Reveille.  Breakfast, oatmeal, ham bologna fried, coffee.  Police incinerator and latrine",What is this about?,Tuesday Mar
"Dearest Mother & all at Home,Just a line to letyou know that I received another budget of lettersfrom ""Home Sweet Home"" today, & my joy knows nobounds as you can easily imagine, but so farthe parcel has not arrived, but I have no doubtthat it will come alright, as the parcels gethere usually a day or two later than the letters. You say that you heard we have to pay onparcels we get here; This is not the case & we havealways got everything alright I had to pay nothing. I am glad to tell you that those of us who havebeen here since April, are going on a short holidayof a fortnight, tomorrow, to Lemnos, & we arevery thankful too, as some of us, or nearly allare feeling ""run down"" somewhat, & the changewill do us good.  We do not expect to be relieveduntil the new Artillery Brigades arrive, but wewill have no difficulty of carrying on untilthey come, but at the same time, we are eagerlylooking forward to being relieved.  I suppose you got a surprise in my last letter toknow that I intended to apply for a transfer tothe D",What is this about?,"Dearest Mother & all at Home,Just a line to letyou know that I received another budget of lettersfrom ""Home Sweet Home"" today, & my joy knows nobounds as you can easily imagine, but so farthe parcel has not arrived, but I have no doubtthat it will come alright, as the parcels gethere usually a day or two later than the letters"
"Dear Sir Edmund, Certain questions relating to the burial of Mahomedan soldiers have been brought to my notice by Col.  Sharman and it has been suggested that a plot of land should be acquired at Woking and set apart for that purpose.  I have discussed the matter with Col.  Sharman and others, including the Imam of the Woking Mosque, who had an interview yesterday with Col.  Lucas at the Royal Victoria Hospital, Netley",What is this about?,"Dear Sir Edmund, Certain questions relating to the burial of Mahomedan soldiers have been brought to my notice by Col"
"PROCLAMATIONRead to Natives on the annexation of the late GermanPossessions in the Pacific.  Raubal, September 12th 1914All boys belong in a one place, you savvy big master he come now,he new feller master, he strong feller too much, you look,him all ship stop place; he small feller ship belonginahim.  Plenty more big feller he stop place belonginahim, now he come here to take all place.  He lookout good you fellers.  Now he like you feller lookout good alonga him",What is this about?,PROCLAMATIONRead to Natives on the annexation of the late GermanPossessions in the Pacific
"Thu.  Jan.  3, 1918 Weather: cold, clearHealth: good, best night since arrival Up at 6:00.  Reveille at 6:15.  Breakfast 6:30",What is this about?,Thu
"SundayHad 7 sick horses at the sickhorse parade, all sufferingfrom swelling in the hind legsPurpura haemorrhagia.  Capt Whitfieldthinks the complaint is largely dueto the intense suns heat on thehorses spines & advocates theplacing of a covering over theirbacks.  The horses throughoutthe camp are afflicted.  One ofthe ASC horses attached to mehas been returned from the V. hospital as incurable fromthe same complaint",What is this about?,"SundayHad 7 sick horses at the sickhorse parade, all sufferingfrom swelling in the hind legsPurpura haemorrhagia"
This letter holds our regimental crestand when we get more money will be ourbadge as well - what do you think of it.  I genuinelythink it is too squat - and more of our flag should be shownHowever my vote was only 1 among the 20 who adopted it. I got a fine parcel from you yesterday - tip top - andall arrived in prime condition Bovril I will keep with thequinine.  Boracic Acid &c until reqd.  - the sox I am usinglikewise the camphor,What is this about?,This letter holds our regimental crestand when we get more money will be ourbadge as well - what do you think of it
"Dardanelles Army 21 December 1915 My own darling Jenny Jane.  Such a relief as it is to know that we havegot through everything so satisfactorily in this withdrawalfrom the Peninsula - & so far more satisfactorily than I hadever dared to hope could be possible.  I shall always feelthat a special Providence was watching us & seeing usthrough this - nothing else could have ensured everythinggoing as it did, for the weather was just exactly rightthroughout & broke up 24 hours later - i. e.  the date I hadoriginally decided on, but found it could be put forwarda day, so I did so",What is this about?,Dardanelles Army 21 December 1915 My own darling Jenny Jane
"17. 12. 1917My dear mother,Australian mail has arrived & brought lettersfrom you & Ern, which always take one so much nearerhome.  I must certainly write a special letter to the Candeloknitting society & thank them for the parcels they have sent,two of which have come safely to hand.  How I wish I couldbe in Sydney with you now & help you to choose a house& so on - I wish to goodness the old war would end& let me get back to the old land & occupation oncemore",What is this about?,17
"Dear Father and Mother,Just our luck - we aremissing all the interesting work in front.  I told youin my previous letter we were going up - we havebeen & 'gone'.  Whilst we were in we were to have hada 'hop over' - but sudden plans in the rear stoppedit at the last moment.  Then we were relieved, &nowwe are back in rear.  The very next night Fritzevacuated three or four lines in front of our position,it was our bad luck to be going rearwards, whilstthe relieving battn was pushing forward",What is this about?,"Dear Father and Mother,Just our luck - we aremissing all the interesting work in front"
"24. 4. 1917My dear mother,Much has happened since I last wroteyou & we have had rather a strenuous time.  It is nowabout nine days since we left our last bivouac & sincethen we have been constantly moving & living in theopen.  We have settled down again now though I cantsay we are very comfy, as we have very little stuffwith us for shelters & it is very windy & exceedingly dusty& very hot",What is this about?,24
"My own darling girl,I am so disgusted to hear you haven't beengetting my letters & I do so hope that in your next one I shallhear that several of them have arrived, for I really sent youoff a great many between the time of our landing and our firstmonths here - interesting ones too, telling you about all that hadhappened.  I only wish I had numbered them.  The first four tellingyou of our landing were written on sheets from my field pocket book &I think I wrote some to Chris too out of this.  I am sure I musthave written at least & half a dozen letters before I sent that postcard to Judith, so it is very annoying to think that that is all thathas reached home.  It is just possible that the censor may have stopped &destroyed them, though I do not think this is likely as they have alwaysbeen censored here with our stamp",What is this about?,"My own darling girl,I am so disgusted to hear you haven't beengetting my letters & I do so hope that in your next one I shallhear that several of them have arrived, for I really sent youoff a great many between the time of our landing and our firstmonths here - interesting ones too, telling you about all that hadhappened"
"Sat.  Jan.  5, 1918 Weather: mild, clear Health: good Up at 6:00.  Reveille 6:15.  Breakfast, steak, oatmeal, coffee",What is this about?,Sat
"My Dearest Mother, & all at Home,Just a line againthis week, as there is not much news. Our bad luckis still keeping us close company, & a lot of ourhorses are down with mange, & ringworm, andother ailments, & are therefore in strict Isolation,& we have to do our work with scratch 4 horseteams, which doesn't give the drivers their propertraining, and then again the so-called officersin the battery who we have to put up with arealmost unbearable at times. I get absolutely noassistance from Major Harris, who since he wasinvested with the D. S. O, lives away in War-Minster with his Wife, & he has taken a horsefor himself, & one for his wife, & the consequenceis, that the battery loses his services, & also thatof 2 horses & further, I have to send aforage wagon into Warminster every 4 days,with 4 days of forage for them",What is this about?,"My Dearest Mother, & all at Home,Just a line againthis week, as there is not much news"
"Thu.  Jul.  18, 1918 Weather: Raining, Hot Health: Good Throndsen calls me at 7.  I have breakfast of six or seven pancakes, syrup, bread, jam, coffee, eggs.  Take a rest and smoke a pipe, home style before I go to work",What is this about?,Thu
"11th 5.  1916My dear mother,Here we are again in the samespot writing in the same old way.  I receivedone of your letters again this week & am glad tosay that mail is coming fairly regularly now. Nothing has happened at all since I last wroteso that my letter will again be uninteresting. Wesley & I went into the xxx (I forgot & almostput something censorable), at any rate we wentin & had a dip one day this week, you willprobably guess where",What is this about?,11th 5
"Sat.  Aug.  3, 1918 Weather: Clear, Warm, Rains at night Health: Good Hike 22 Kilometers to . .",What is this about?,Sat
"Sun.  Aug.  11, 1918 Weather: Fair, Hot Health: Good A happy day: The Captain tells me he has recommended me to be one of the men who goes back to the States to instruct in Army Camp on infantry work.  Up at 7:00.  The first thing to think about is breakfast",What is this about?,Sun
"March 21, 1918 Left London 7:55 a. m.  Reached Boulogne 1:40 p. m.  Pick up at St",What is this about?,"March 21, 1918 Left London 7:55 a"
Dardanelles Army12 November 1915. My own darling Jenny Jane -At last two letters from you.  the ones you sent by Sir Ianby Kings Messenger and dated 22nd & 25th November.  I have hadnothing from you since the one dated 31st.  October between them,What is this about?,Dardanelles Army12 November 1915
"him before he got away, stood himup against a wall and literally shot piecesout of him. Two mine sweepers have been settled.  They are only trawlers and drag for mineswith wire ropes.  Naturally they takea tremendous risk.  There are half adozen in harbour here",What is this about?,"him before he got away, stood himup against a wall and literally shot piecesout of him"
"8. 10. 1916. My dear mother,We are expecting mail tomorrow or nextday as it already at Romani but I must answer write yourletter now or I will miss this mail.  We have had anotherstunt this week or in other words a reconnaissance tothe same place which we went to a couple of weeksago - El Maza",What is this about?,8
"Dear Mother Just a few lines to let you know that I am quite well and Ihope you are also quite well.  I received your welcome letter today and wasglad to hear from you and to know that you were quite well also MineFlo Will Mother at last we have got to the ""front"" and are not far away fromthe German frontline most of the lads are in the firing line but the Platoon Iam in are out in reserve behind the first line our job is guard and fatiguework so up to the present time have not had a shot at the beggars but weget plenty of bullets and shells over us you ought to see us duck whenwe hear them coming we are doing some ducking at the present asfritz is sending a few shrapnel and high explosives shell in butwe are getting quite used to them now we are going out for a spell in afew days time we have been here now ten days and are doing fineup till now a couple of the lads have been killed and wounded one of themen of the 10 rifls as been killed A WILD his photo is in the group which youhave Bob is not yet Back with the Battalion but I had a letter fromhim to say that he is well and that he is somewhere in france DearMother a couple of days ago I was with a fatigue party we were digginga sap just behind the firing line there were six of us and a couple ofengineers we had been working from 6-15 in the morning and at about11-30 it began to rain and 12 oclock was knock off time well when itbegan to rain we where beginning to think it was time to buzz off so we started to git our things together when old fritz put a Bomb overit struck the ground about fifteen yards away from us it did not go offfor a about a few seconds after landing but when it did go off it throughthe mud about abroads you should of seen us brave soldiers do a get aswhen one comes over you can bet your sweet life that it is not an orphanbut has a lot of mates to follow so we got back to our little dugoutsand spent a quite afternoon there and had a good sleep we do not getto much sleep of a night time if our lads are not putting a few shellsinto fritz will he puts a few into us and then our lads get a moveon and between the pair of them they make a deuce of a rowwhile they are at it the poor unfortunate infantry have to do a bitof ducking or lay full length at the bottom of the trench.  We are havingnice weather over here at present a mixture of rain and sunshinemuch better than Egypt I have seen Jim Bryce since I came toFrance but have not seen C Harnett or any of the Manly boysDear Mother the letter I received from you was dated 13th MayI have a letter from you and also one from Bert for Bob as soonas I see him again.  With best loveI remainYour Loving SonStephen",What is this about?,Dear Mother Just a few lines to let you know that I am quite well and Ihope you are also quite well
"P. S.  There has not been a mail out for several weeks, hence the delay! France, 27/5/16.  Dearest Mother & Father, Your letter of 29/3/16 to hand.  Little did you think when you were writing that letter that I was just making myself at home in ""Sunny France""",What is this about?,P
"Tue.  May 28, 1918 Weather: Fair, Mild Health: Good Up at 5:30.  Guard tells of hole made by bomb during last night's raid about 200 yds.  back of last tent.  Boys go up to inspect it and come back with souvenirs of steel fragments from it",What is this about?,Tue
"Mon.  Mar.  11, 1918 Weather: fair, mild Health: good In camp At home Up at 6:00.  Reveille.",What is this about?,Mon
